Id,SalePrice
1461,158827.10604628295
1462,146192.25409933258
1463,193965.9434216847
1464,195735.40884790584
1465,179478.2853327504
1466,180755.5328630759
1467,166147.13180610904
1468,174110.59668009827
1469,171938.3476669456
1470,129037.16646171855
1471,213450.18456839884
1472,96779.65891178927
1473,97361.9008409737
1474,142922.65873383818
1475,101164.77511026237
1476,338327.27604111657
1477,240213.88425228998
1478,329846.1721240595
1479,277231.18008731
1480,405293.7183733221
1481,312932.3486046927
1482,209772.95737589008
1483,195548.64593421773
1484,183894.55681009492
1485,183940.0026281603
1486,212522.2098994455
1487,289742.19760112395
1488,214224.39986250058
1489,214373.82582057622
1490,286758.5365615471
1491,193900.02698497815
1492,106392.99648495698
1493,177178.89466750232
1494,234878.52447390778
1495,282541.48652652773
1496,240532.41276727605
1497,161365.15057619644
1498,164129.57831139173
1499,158550.03304813703
1500,164065.15271832858
1501,174247.8557071162
1502,173807.21320471133
1503,264651.26806071564
1504,217610.77996433942
1505,206286.8142167635
1506,158060.85136566008
1507,249246.82493275256
1508,212017.33936396896
1509,168232.75560992182
1510,149664.5938467322
1511,146295.8736156476
1512,172084.66198201463
1513,151976.54530207196
1514,133703.2891214656
1515,153090.09782765366
1516,146023.49467063133
1517,152261.38128633078
1518,129235.16809012591
1519,211239.427253992
1520,128721.95608688454
1521,139003.33537422906
1522,156040.4186121961
1523,117194.04957167301
1524,128446.7731001076
1525,132511.0966370631
1526,123756.47488704679
1527,116646.01128885317
1528,138070.99049893927
1529,135516.2473129981
1530,154410.97741089645
1531,140051.52659408704
1532,83126.05822264934
1533,160146.2321378454
1534,124471.3864843681
1535,142639.78423077273
1536,109572.85195239146
1537,65876.42306779094
1538,145426.89475986597
1539,155951.9874640103
1540,113643.49594039081
1541,136353.16657066098
1542,137392.08529906333
1543,151327.75300490603
1544,90854.8985901998
1545,112700.56940083663
1546,128360.93694591484
1547,141804.70007345418
1548,109961.74362886182
1549,117736.97649155073
1550,134138.65441917581
1551,119853.03826361832
1552,141870.38446989268
1553,106573.4568010846
1554,127517.79601239585
1555,155984.12533222107
1556,88584.4342876814
1557,72083.0121336202
1558,114359.74501112879
1559,71176.20920992942
1560,144004.36097351223
1561,118562.97980021755
1562,133961.9857647125
1563,126536.2032904783
1564,147079.11230032003
1565,149475.07631321545
1566,210707.29118319755
1567,109829.38665155065
1568,224018.60672797597
1569,157724.6956172126
1570,132858.13443208355
1571,132210.07501150368
1572,136461.0734928604
1573,211687.42172454804
1574,117597.44416893877
1575,258138.50879842308
1576,296756.74807831383
1577,194691.37566648598
1578,118927.70651074656
1579,144842.00459133432
1580,177147.6658747996
1581,144921.5518501443
1582,122972.66732063043
1583,271030.6105786988
