Id,SalePrice
1461,121429.59497814153
1462,158981.06222169782
1463,184289.83342324223
1464,199996.36580368734
1465,196577.20946977395
1466,172117.61051597007
1467,180120.58609565534
1468,161515.42662160724
1469,202112.5894011407
1470,119096.69009601869
1471,194601.70137205324
1472,97436.96438835448
1473,94292.70889794223
1474,144929.03855732348
1475,106152.72515819773
1476,369883.38703445595
1477,246759.47886728361
1478,299488.87599558913
1479,296919.7247704956
1480,493513.0860919123
1481,328923.7053769426
1482,210124.9404720389
1483,182709.75160434577
1484,159283.18588822376
1485,189651.73543438167
1486,196656.51932374082
1487,342557.06362473464
1488,239938.6288184115
1489,194513.40343787285
1490,244852.86036786382
1491,195382.68634000703
1492,93594.50430716955
1493,186878.1889618935
1494,294774.99657510786
1495,292359.3389165151
1496,234823.46742418487
1497,182078.70694553567
1498,168786.1612207376
1499,160716.95050268754
1500,157595.87839873641
1501,176470.21992384328
1502,142314.1426051482
1503,288948.21989666595
1504,242020.29460458035
1505,225907.69985516538
1506,190855.32926643765
1507,247977.93137738915
1508,207235.98977638848
1509,162290.0790003898
1510,144009.89225522833
1511,152933.23465814008
1512,176972.7120080178
1513,149122.05749411974
1514,153601.18975351745
1515,194102.9454740837
1516,155442.32833319352
1517,177409.4325115826
1518,131429.25248050262
1519,212822.35709508925
1520,126518.7927086462
1521,130724.15234897785
1522,181224.45101109077
1523,110858.69726070075
1524,130587.52709680458
1525,120164.76426086317
1526,112554.3276656989
1527,106837.43110589807
1528,140679.4069609299
1529,151904.7469835483
1530,182072.17246949387
1531,106028.90334892327
1532,97969.2892135785
1533,155425.0327886023
1534,126466.90211548505
1535,149230.18613620003
1536,109438.53259646328
1537,58319.4520810232
1538,147573.8482247045
1539,191499.12778100013
1540,97203.24275234145
1541,145882.40307212726
1542,147318.82876436747
1543,191424.53262735935
1544,88269.24897162682
1545,115529.7690590934
1546,139988.72465330764
1547,130039.7661509686
1548,142064.41099435595
1549,121386.98032788796
1550,133825.22602083223
1551,108213.78535776895
1552,137536.82687485663
1553,151684.84513607188
1554,117850.9253026612
1555,161922.99095147825
1556,80957.22779929584
1557,110576.73301150142
1558,100487.02179252384
1559,56696.306471594355
1560,133458.2827386502
1561,125865.92978205926
